random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.011786,0.009282,0.010077,0.008904,0.008979,0.008449,0.007941,0.007464,0.007087,0.006024,0.006355,0.006024,0.004341,0.006024,0.000000,0.000000,0.000000,0.000000
0.011603,0.009188,0.009589,0.008243,0.008247,0.007487,0.007148,0.006466,0.006477,0.005634,0.005806,0.005634,0.003914,0.005634,0.000000,0.000000,0.000000,0.000000
0.001961,0.001589,0.001717,0.001589,0.001595,0.001448,0.001473,0.001448,0.000985,0.001448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.015081,0.011434,0.012579,0.010612,0.011115,0.010142,0.009894,0.009398,0.008735,0.007675,0.007514,0.007087,0.005195,0.005560,0.000000,0.000000,0.000000,0.000000
0.016119,0.011678,0.013434,0.011678,0.011237,0.011225,0.009101,0.006765,0.007270,0.006576,0.004890,0.005216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.024967,0.017786,0.020329,0.017474,0.016668,0.016501,0.013311,0.011325,0.010626,0.009029,0.008063,0.007278,0.003243,0.003814,0.000000,0.000000,0.000000,0.000000
0.030398,0.021056,0.023685,0.019096,0.019414,0.018155,0.016119,0.012783,0.013739,0.012391,0.011420,0.011058,0.007209,0.008117,0.000000,0.000000,0.000000,0.000000
0.034547,0.024976,0.027835,0.022894,0.023075,0.022554,0.019536,0.015673,0.017339,0.015376,0.015813,0.015121,0.013250,0.014314,0.005745,0.009515,0.000000,0.000000
0.026675,0.019263,0.021794,0.018660,0.018071,0.018097,0.015264,0.012226,0.013250,0.011944,0.011176,0.011019,0.007453,0.007802,0.000000,0.000000,0.000000,0.000000
0.028933,0.019531,0.022526,0.018034,0.018681,0.017680,0.015874,0.012915,0.014105,0.012561,0.012701,0.012285,0.010199,0.010789,0.002877,0.005473,0.000000,0.000000
0.031130,0.020634,0.024357,0.019413,0.020207,0.019256,0.016973,0.013270,0.014959,0.013113,0.013495,0.012758,0.011054,0.012562,0.003731,0.006143,0.000000,0.000000
0.005806,0.003442,0.003670,0.002742,0.002632,0.002043,0.002083,0.001748,0.001656,0.001506,0.000619,0.001506,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001168,0.001145,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002388,0.001942,0.001900,0.001540,0.001351,0.001540,0.000375,0.000167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011969,0.009578,0.010321,0.009103,0.009223,0.008668,0.008308,0.007678,0.007087,0.006768,0.004097,0.006016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001900,0.001583,0.001656,0.001583,0.001290,0.001319,0.000375,0.000754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010749,0.008721,0.009223,0.008239,0.008063,0.007596,0.007026,0.006551,0.005928,0.005385,0.003304,0.005225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.002632,0.002158,0.002327,0.002158,0.002144,0.001972,0.001656,0.001972,0.000192,0.000484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010443,0.008453,0.009101,0.008210,0.008125,0.007887,0.007209,0.006633,0.006355,0.005662,0.004646,0.005662,0.000131,0.000081,0.000000,0.000000,0.000000,0.000000
0.003792,0.003098,0.003121,0.002837,0.002693,0.002127,0.002266,0.002127,0.001229,0.002127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.009955,0.007893,0.008613,0.007652,0.007758,0.007292,0.007026,0.006530,0.006355,0.005809,0.005012,0.005809,0.000863,0.001242,0.000000,0.000000,0.000000,0.000000
0.011115,0.008968,0.009528,0.008528,0.008491,0.007967,0.007514,0.006886,0.006721,0.005885,0.005562,0.005885,0.001900,0.004604,0.000000,0.000000,0.000000,0.000000
0.002388,0.001991,0.002144,0.001991,0.002022,0.001841,0.001778,0.001841,0.001046,0.001841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010138,0.007997,0.008674,0.007634,0.007636,0.007310,0.006599,0.006099,0.005806,0.004968,0.004646,0.004968,0.001046,0.003837,0.000000,0.000000,0.000000,0.000000
0.002144,0.001760,0.001839,0.001760,0.001717,0.001536,0.001473,0.001536,0.000741,0.001536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.011725,0.009481,0.010138,0.009035,0.008918,0.008387,0.007697,0.006969,0.006782,0.005753,0.005867,0.005753,0.003121,0.005753,0.000000,0.000000,0.000000,0.000000
0.010626,0.008676,0.009162,0.008161,0.008002,0.007487,0.006904,0.006021,0.006172,0.005348,0.005378,0.005348,0.002754,0.005348,0.000000,0.000000,0.000000,0.000000
0.003731,0.002988,0.003182,0.002988,0.002816,0.002950,0.002510,0.002184,0.002083,0.002184,0.000619,0.001801,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010504,0.008653,0.008979,0.007921,0.007880,0.007475,0.006843,0.006337,0.006111,0.005240,0.005378,0.005240,0.003121,0.005200,0.000000,0.000000,0.000000,0.000000
0.001961,0.001581,0.001717,0.001581,0.001595,0.001468,0.001473,0.001468,0.000985,0.001468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.019597,0.015268,0.016912,0.014885,0.015203,0.014332,0.013800,0.012928,0.012457,0.011610,0.011115,0.010419,0.008979,0.009399,0.002877,0.005614,0.000000,0.000000
0.019414,0.013653,0.015874,0.013653,0.012640,0.013020,0.009345,0.006846,0.006721,0.005422,0.003609,0.003680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.030276,0.022063,0.024662,0.021058,0.020268,0.019342,0.016607,0.013606,0.013800,0.011974,0.011054,0.010299,0.006721,0.007159,0.000000,0.000000,0.000000,0.000000
