random_32,lru_32,random_64,lru_64,random_128,lru_128,random_256,lru_256,random_512,lru_512,random_1024,lru_1024,random_2048,lru_2048,random_4096,lru_4096,random_8192,lru_8192
0.109728,0.116492,0.030825,0.005849,0.010260,0.005849,0.004646,0.005476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080498,0.095220,0.022465,0.008024,0.011542,0.007795,0.007209,0.006840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.053404,0.032734,0.019475,0.010078,0.012579,0.009727,0.007880,0.008203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.111497,0.117412,0.032290,0.006018,0.009528,0.005869,0.000314,0.000972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.116623,0.121585,0.036500,0.006542,0.011908,0.006542,0.006599,0.006542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.055783,0.039445,0.017522,0.008369,0.010626,0.007982,0.006721,0.006510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.070429,0.058880,0.021061,0.008637,0.011481,0.008367,0.005989,0.006594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.107958,0.115732,0.029666,0.005787,0.009589,0.005787,0.002022,0.003547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.106921,0.114424,0.030337,0.006179,0.010810,0.006179,0.006355,0.006179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.036378,0.009377,0.015569,0.009220,0.010871,0.008983,0.006904,0.007171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.094411,0.108703,0.029788,0.009321,0.013617,0.008904,0.005989,0.006706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
